"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"P08758",0.787867563408465,26.1975905614623,2.20156232665159,0.0734591000358129,0.552458975491444,-4.55609284829138
"P07737;CON__P02584",0.64670666757738,27.5336893270703,2.19889489791086,0.0737199457259903,0.552458975491444,-4.5596606788442
"P67936;P07951;CON__Q3SX28;P09493",0.34925472123706,24.9719183339388,2.19822985277225,0.0737851304999153,0.552458975491444,-4.56055018850994
"P62330",1.98287109970095,23.1370374518823,2.1892017857684,0.0746759994663651,0.552458975491444,-4.57262437540521
"P37837",-0.487351666342416,24.1938113155579,-2.18877711005477,0.0747181809724613,0.552458975491444,-4.57319229053385
"Q9NZN4",1.5104540183505,22.5892002003505,2.18797049380581,0.0747983677253692,0.552458975491444,-4.57427095888401
"P62857",2.38432231381373,23.5163298893746,2.18570360452433,0.0750242031855889,0.552458975491444,-4.57730232583164
"Q8NC51",0.408503114425201,22.2843562916603,2.18296534805529,0.0752979467492321,0.552458975491444,-4.58096384276487
"Q9HC38",2.69035065878317,23.7033896585061,2.16410253464095,0.0772121771564729,0.552458975491444,-4.60618081239958
"P00749",-0.438409393928278,24.8088684576349,-2.1514678340121,0.0785226504663014,0.552458975491444,-4.62306524575476
"Q13813;REV__Q04637",0.4939172117971,24.7131299861768,2.14808479930953,0.0788774511109003,0.552458975491444,-4.62758520495319
"P16070",-0.359436293537879,25.2611410178654,-2.14381127221445,0.07932802695788,0.552458975491444,-4.63329429821278
"P53621",0.981348339578695,21.1828825470677,2.13245788818766,0.0805380961574082,0.552458975491444,-4.64845795911929
"Q6NZI2",0.796784752760921,21.2782100177104,2.12996878558025,0.0808059421932318,0.552458975491444,-4.6517816971844
"P49368",0.346942760190164,24.7276130089779,2.1220775939714,0.0816612191407087,0.552458975491444,-4.66231710875556
"P31943",-0.860083019745542,20.9425162958555,-2.11944661362984,0.0819484569769925,0.552458975491444,-4.66582905577095
"P29034",0.45792011592896,28.7488592735487,2.1187617825962,0.0820233952066045,0.552458975491444,-4.66674314450259
"P05388;Q8NHW5",2.94783709112567,23.5149214401148,2.11703935922425,0.082212187015743,0.552458975491444,-4.66904207663927
"Q03405",1.39066273974283,22.9561682833096,2.10674694186628,0.0833497429129644,0.552458975491444,-4.68277641082354
"P09496",0.628831857674925,21.3439387941811,2.10480091657878,0.0835666506891937,0.552458975491444,-4.68537260852279
"P07339",2.31956078736293,23.5518495607604,2.10063508910017,0.0840329481543722,0.552458975491444,-4.69092958178848
"P06748",0.614870058659776,21.2975079228077,2.09093157526532,0.0851295666474987,0.552458975491444,-4.7038698538535
"P13688",0.478344936560756,25.4630850723412,2.08549703526314,0.0857501902530742,0.552458975491444,-4.71111484456236
"P07942",0.534928519435372,23.9914535497307,2.08231387941217,0.0861158751356414,0.552458975491444,-4.7153576259478
"P11021",1.26650742929886,22.6232500614687,2.08153539703019,0.0862055530213568,0.552458975491444,-4.71639516154419
"Q96KP4",0.786527783686051,25.3722802738677,2.08121042560955,0.0862430168827834,0.552458975491444,-4.71682826192263
"Q14254",-1.7991714320785,22.8759236455105,-2.07673820667007,0.0867603010009659,0.552458975491444,-4.72278788632533
"P15941",0.451087603771168,30.6235046366509,2.05822931671403,0.0889354209810516,0.553823224020285,-4.74743908816937
"P01111;P01116;P01112",2.43737426624265,23.964120911289,2.05154842623732,0.0897342790202903,0.553823224020285,-4.75633143889333
"Q01650",0.337988015028873,24.0087036697934,2.04824014526583,0.0901325931530063,0.553823224020285,-4.76073363922399
"P53396",1.34926203738391,20.9503699075018,2.03455642893805,0.0917995159868797,0.553823224020285,-4.77893350591886
"P21796",0.882681074305101,21.0438529505512,2.03252367461789,0.0920498319311163,0.553823224020285,-4.78163593950001
"Q04446",0.916259156400848,21.7422755058441,2.02985692397489,0.0923792826355268,0.553823224020285,-4.78518074815382
"Q07020",1.40210760277096,24.291365264526,2.02196799607545,0.0933609880537848,0.553823224020285,-4.79566389048211
"P11766",-0.596961164654122,21.4548521723416,-2.01493749651552,0.0942448895099802,0.553823224020285,-4.80500204018966
"A8MQ03",1.61420818796804,22.6373334326327,2.01392332244448,0.0943731018007443,0.553823224020285,-4.80634876013872
"P14314",-0.763943902277891,21.2508196839492,-2.00501037876166,0.0955075971161526,0.553823224020285,-4.81818045378625
"Q99584",0.780694984960352,25.5494342725675,2.001551870801,0.0959515712612646,0.553823224020285,-4.82276966239533
"P05556",-0.271886660579124,26.2377835712957,-1.99857514613708,0.0963353897695281,0.553823224020285,-4.82671872200096
"P38606",-2.25285942421122,21.8918953805499,-1.98885423603877,0.0975997790279096,0.553823224020285,-4.83960929310092
"Q8NFJ5",0.382184277554025,29.9670196579522,1.98730098104367,0.09780337617842,0.553823224020285,-4.84166819688493
"Q6ZN28",0.828590371272679,24.1241025477594,1.97911925280669,0.0988830046052329,0.553823224020285,-4.85250960871708
"O43633",-0.480263084114181,24.8623399631757,-1.9789091697912,0.0989108860630417,0.553823224020285,-4.85278789927331
"Q969P0",1.68851776919302,22.837427238801,1.97064792056961,0.10001367540591,0.553823224020285,-4.86372785799433
"P20073",-0.364748742730981,23.504848889251,-1.96573368329938,0.100675616338673,0.553823224020285,-4.87023227335082
"P29401",-0.256088349987891,25.4083171765032,-1.96471250848151,0.10081372680433,0.553823224020285,-4.87158357490061
"P27824",0.939680337797061,21.1617277670965,1.96415163971916,0.10088966457662,0.553823224020285,-4.87232571613129
"P40261",0.809645117263628,21.5362550959716,1.96218552735052,0.101156323370147,0.553823224020285,-4.87492701663655
"P50151",-0.964273805411977,21.6220060683032,-1.95657685804719,0.101920966001624,0.553823224020285,-4.88234543661927
"P23588",1.5751385369145,19.7506029414013,1.9510762318681,0.102676596609226,0.553823224020285,-4.88961768885918
"Q12792",0.363304248973868,22.9145815858019,1.94699049541018,0.103241549829382,0.553823224020285,-4.89501721715932
