"UNIPROT","Symbol","degree","betweenness","X","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"P62805","H4C2",32,1.29255189255189,"P62805",0.495259358786601,24.0302811969452,1.4912681645702,0.190264177853264,0.58753627495004,-5.47857826464769
"P62805","H4C3",32,1.29255189255189,"P62805",0.495259358786601,24.0302811969452,1.4912681645702,0.190264177853264,0.58753627495004,-5.47857826464769
"P62805","H4C4",32,1.29255189255189,"P62805",0.495259358786601,24.0302811969452,1.4912681645702,0.190264177853264,0.58753627495004,-5.47857826464769
"P62805","H4C5",32,1.29255189255189,"P62805",0.495259358786601,24.0302811969452,1.4912681645702,0.190264177853264,0.58753627495004,-5.47857826464769
"P62805","H4C6",36,611.925317021688,"P62805",0.495259358786601,24.0302811969452,1.4912681645702,0.190264177853264,0.58753627495004,-5.47857826464769
"P62805","H4C8",32,1.29255189255189,"P62805",0.495259358786601,24.0302811969452,1.4912681645702,0.190264177853264,0.58753627495004,-5.47857826464769
"P62805","H4C9",32,1.29255189255189,"P62805",0.495259358786601,24.0302811969452,1.4912681645702,0.190264177853264,0.58753627495004,-5.47857826464769
"P62837","UBE2D2",2,0,"P62837;P61077",-0.40677278549574,20.9879428983609,-0.619174815412724,0.560275288818174,0.801291312354766,-6.342078202551
"P62987","UBA52",38,368.474134243892,"P62987;P62979;P0CG47;P0CG48",-0.0720012189734547,30.0953463616554,-0.549431692043323,0.604037668929475,0.825073535162342,-6.38641448091941
"P67809","YBX1",2,0,"P67809",0.115020822327089,22.6581714205949,0.842046556822859,0.434450255960007,0.740144998305698,-6.17090746525944
"P68363","TUBA1B",4,0,"P68363;Q9H853",0.198539382076095,26.9260996441104,1.2524711049283,0.260461201196381,0.621966220228283,-5.75940885543189
"P68371","TUBB4B",6,38,"P68371;Q9BVA1;Q13885",0.00507006074899508,26.8196652004352,0.038704224391042,0.970477002217616,0.983921947404258,-6.55542576988807
"P98160","HSPG2",18,13.4306347326509,"P98160",-0.290257725327177,24.1051701931228,-1.60895566638576,0.162599551374912,0.584016227066852,-5.33253295336405
"Q00610","CLTC",4,77,"Q00610;P53675",-0.0886199383019459,25.6912230125301,-0.567043045850036,0.592800820671333,0.819185592151441,-6.37566094150182
"Q15836","VAMP3",2,0,"Q15836;P23763",-0.0974389320444153,21.1437341198654,-0.213434101523086,0.83859118416854,0.930976659141522,-6.53006276123003
"Q16543","CDC37",4,0,"Q16543",-0.599315767345285,23.7436547358927,-1.5227076035601,0.1824631974222,0.58753627495004,-5.43998297593881
"Q16777","H2AC20",30,29.3333333333333,"Q16777;Q6FI13",-0.40975772866938,26.397229257097,-1.67807533460217,0.14820498874676,0.584016227066852,-5.244947927724
"Q71U36","TUBA1A",6,38,"Q71U36;P0DPH8;P0DPH7;Q6PEY2;A6NHL2",1.15345940383419,20.8454187646856,5.46328879444337,0.00199755468058993,0.288313725565146,-0.813168496573777
"Q71UI9","H2AZ2",26,0,"Q71UI9;P0C0S5",0.36541343541732,21.5766916322473,1.04583212987684,0.338924798312851,0.679418692914187,-5.98003304658629
"Q96EY5","MVB12A",14,0,"Q96EY5",0.431532270254372,24.5055369475949,1.50460464905246,0.186917188996219,0.58753627495004,-5.46224611404475
"Q99816","TSG101",22,514.285102397602,"Q99816",-0.0832773166655976,25.383809826015,-0.492042290030134,0.641491473223261,0.842991829759247,-6.41932993686586
"Q9H444","CHMP4B",16,0.142857142857143,"Q9H444;Q96CF2",-0.370908515616946,24.9989924617501,-1.67448807885807,0.148920471231313,0.584016227066852,-5.24952255435551
"Q9H9H4","VPS37B",16,0.142857142857143,"Q9H9H4",0.468011389113883,25.8497990242845,1.30802801115339,0.242293017560909,0.613349329124376,-5.69624795940575
"Q9NZZ3","CHMP5",16,0.142857142857143,"Q9NZZ3",-0.329875137118364,24.2589473832147,-1.35210984279884,0.228700053595855,0.609397681273879,-5.64512774041585
"Q9UK41","VPS28",16,0.142857142857143,"Q9UK41",0.102929665370979,24.3978667096543,0.667694509115854,0.531024846411814,0.780241218047915,-6.30853003550421
"Q9UQN3","CHMP2B",18,38.0025793650794,"Q9UQN3",-0.264567212682145,22.6854137353991,-0.861807854805103,0.424367339111809,0.734496119097234,-6.15373072721231
