"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Q9H9H4",-2.93138596721826,24.3841060406753,-5.54577011370223,0.00107384680814337,0.00285013476146323,-1.16327218593327
"P63218;A0A804HLA8",0.74245516420519,24.676129637912,5.53807059114178,0.00108214402812106,0.00285072270094578,-1.17183480564705
"Q9NY33",-0.698316285389705,23.5508753268072,-5.51917253243517,0.00110281661561699,0.00288366122453925,-1.19288492676632
"Q9H4A4",-1.55993534467474,23.730392030071,-5.37985338668803,0.00126968077545733,0.00329556848335617,-1.34955522505448
"Q15102",0.812019762077067,22.9491207507003,5.30976296127705,0.00136423055808213,0.00351513421170068,-1.4293738851643
"O75083",0.616025388422681,24.415928085487,5.19888091202251,0.00153039494661615,0.0039147059141703,-1.55702943128601
"P52565",0.854389730062699,25.9955255700972,5.1563787406569,0.00160001372484795,0.00403529757354129,-1.6064143802572
"P18085",0.87462610932856,24.537795838084,5.15614796556971,0.00160040130395405,0.00403529757354129,-1.60668321655966
"P04899",0.587799680508081,26.165689826792,5.12540664701292,0.00165298382138849,0.00413832119822793,-1.64256138604656
"P54709",-0.858036736851336,25.3326635000748,-5.11478515760625,0.00167159965798651,0.00415545548781153,-1.65498856489872
"P35241",-0.870740049118464,24.2094473718487,-5.09730655012971,0.00170274736128641,0.00420328544429442,-1.67547314938228
"Q9NZM1",0.617472138676153,24.9962124318196,5.05769480489167,0.00177577331454158,0.00435311097245263,-1.7220567965985
"O14672",-0.670291995904559,24.4576904477553,-5.00128399520898,0.00188590058180137,0.00459119245086817,-1.78877959239709
"P18206",0.556477080137054,26.4945830546471,4.93908575850651,0.00201627693389531,0.00487497094291127,-1.86287241704146
"P62820;P59190",0.612286623549803,26.7562128051023,4.91086160732117,0.0020787408957439,0.00499180636869113,-1.89667633704545
"P04083",-0.566886933380275,28.5341023238931,-4.85539864756322,0.00220789325633682,0.00526612378031687,-1.96343685588854
"P40926",0.574365256370257,24.0333525282809,4.84876522621752,0.00222393159476913,0.00526877753660068,-1.97145107987432
"O95865",1.20048405089011,22.8738473645437,4.82743973359227,0.00227638111475983,0.00535708355673479,-1.99725859258819
"P19623",0.939817165271339,23.1790259928362,4.76218013567956,0.00244566673268112,0.00571735335520818,-2.07664171757292
"P61586",0.893185020661484,27.3481274955023,4.75359298246075,0.00246897041157327,0.00573385891635108,-2.08713316694779
"O00194",-1.09597558710448,22.457547904045,-4.71540116682062,0.0025756609160924,0.00593199939117256,-2.13392392803226
"P80297",-1.00612825423581,23.2662769878097,-4.71113392368602,0.00258789775138973,0.00593199939117256,-2.13916509172259
"P20340;Q9NRW1;Q14964",1.2111131306857,24.9464066782495,4.66392813269528,0.00272768066755015,0.00621207274609809,-2.19732129341677
"P60903",-0.773285717863221,28.6799236660256,-4.63748557260804,0.00280964638071117,0.00635772546404514,-2.23003945312179
"P62258",0.537687945687146,28.1193176059346,4.57365990628283,0.00301903602128768,0.00678802366569779,-2.30943275111396
"Q9H223",-0.663102477166618,24.2903525291976,-4.53028547681674,0.00317123707359269,0.00708510561378619,-2.36372597134691
"Q96AC1",2.8448703339272,23.0294691154159,4.50077333907207,0.00327967247853976,0.00728128543977695,-2.4008244885997
"P29401",-0.575017543619779,25.1208084046933,-4.47539081895078,0.00337623966849841,0.00744882876862461,-2.43283371060277
"P61158;Q9P1U1;Q9C0K3",-1.40703548366742,24.6686387110328,-4.42094828601085,0.00359420898613592,0.00788047063419864,-2.5018076172292
"P23396",-0.899223633519544,23.9883226273723,-4.41231294411493,0.00363019782600677,0.00791024588012586,-2.51278768199743
"P13797;P13796",-0.508296846539896,25.583270469716,-4.40599631966403,0.00365677661996172,0.00791927697451833,-2.52082634490203
"P35221;Q9UI47",-0.540564234719497,26.5539069578567,-4.3524229673943,0.00389109224272633,0.00837533879074631,-2.58923951118746
"O75369",0.451949538786216,26.0014705741764,4.31101646278068,0.0040836226460033,0.0087364775396313,-2.64240307154965
"Q9H0U4;Q92928",1.0213733770832,24.0445309979172,4.30583734220699,0.00410843894848935,0.00873662017359482,-2.64907038517291
"P35754",-0.701026366338301,23.370970410499,-4.22922328988298,0.00449576507138246,0.00950302437244317,-2.74815612832926
